Content,Domain,Sentiment,Discrimination,,Channel
Who is responsible for adding these societal stigmas?,None,None,None,,Social Media
"Non food items distributed on 6th July to the Guardians CH, Fridsro CH, The Hewan CH and  Godahena , Bopitiya, and Asarana Sarana Elders homes in Kandy district with the participation of Child Rights Promotion Officer and WDC representative. 

Additional District secretary Mr. Uthpala also join with this.",None,None,None,,Social Media
"Women’s rights are human rights. 

This #16Days of Activism, we are here to remind you that there is #NoExcuse for gender-based violence.

Are you with us?

https://bit.ly/3SWnkAT",Women,Positive,Non Discriminative,,Social Media
"We call for the immediate and unconditional release of Khurram Parvez, an HRD that has documented human rights abuses in Indian-administered Kashmir for years, and independent journalist, Irfan Mehraj, who are currently being detained in Rohini jail in India. Khurram has been in pre-trial detention for two years now, on politically motivated charges under an Indian counter-terror law (UAPA) that violates international human rights standards, while Irfan has been in pre-trial detention since March 2023, similarly on politically motivated charges. 

Indian authorities’ persecution of Khurram and Irfan is an emblematic part of their ongoing, systematic criminalization of civil society, and the defense of human rights, in Indian-administered Kashmir. These reprisals and judicial harassment that target them for their human rights work are occurring within a larger context of systematic, longstanding, grave human rights violations by Indian authorities in Indian-administered Kashmir and impunity for those violations.

We call for Indian authorities to adhere to international human rights laws and standards, end the criminalisation of human rights defenders and journalists; and ensure accountability for human rights violations committed by Indian forces in Indian-administered Kashmir.

🔗Read more:
https://www.frontlinedefenders.org/en/statement-report/joint-statement-two-years-arbitrary-detention-kashmiri-human-rights-defender
#India #Kashmir",None,None,None,,Social Media
"WIF-UNDP GEF SGP Women Entrepreneurship Development Program. Creating awareness on Business Accounting and Finance for women entrepreneurs in Sri Lanka. Extended Sessions  conducted by Mr. Sujan Menaka, Chartered Accountant and Deputy Director Finance at the Bankers Institute. Our women entrepreneurs were also given accounting templates making it easy for them to adopt to accounting  and reporting requirements.

#wif, #womenentrepreneurs #womenempowement  #womeninbusiness #women",Women,Positive,Non Discriminative,,Social Media
"CMEV goes to Citizens
21 Aug 2023 - Haputhale

Centre for Monitoring Election Violence (CMEV) conducted a series of citizen awareness discussions in Badulla District from Aug 20 – 22, 2023. The objective of the program was to increase the understanding of women, youth, Persons with Disabilities and other members of other marginalized groups of their citizenry rights and duties in a democratic society. 

It was highlighted that exercising the powers of sovereignty is an unrelinquishable right and sensible use of their voting rights in elections would be the fundamental solution for all present catastrophes.

The discussions were facilitated by Mr. Dharmasiri Nanayakkara, former Local Government Commissioner, Colombo District, Ms. Sriyanie Wijesundara and Mr. A.M.N Victor , National Coordinator - CMEV. The program was organized by Mr. Dilan Wijesekara, Field Coordinator - CMEV , Mr Vithu , Field Coordinator - CMEV and Mr  R.M. Lushantha , District Coordinator - CMEV.

#CMEV #DEMOCRACY #ELECTIONS #citizenscience",None,None,None,,Social Media
"IESC is celebrating the success of the USAID-funded Linkages for Small and Medium Enterprises (LinkSME) project in Vietnam, which officially closed on September 4. USAID LinkSME was a five-year project implemented by IESC that focused on strengthening the ability of Vietnamese SMEs to enter global value chains and enhancing the country’s business enabling environment through targeted regulatory reform efforts. 

IESC’s efforts led to Vietnamese SMEs fulfilling $8.58 million in orders for lead firm customers, 24 SMEs obtaining new financing or restructuring their debt in the amount of $18 million total, 483 SMEs trained in digital transformation, 21 regulations adopted or implemented, and 150 BSO staff trained to continue the project’s work in linking SMEs with lead firms.",None,None,None,,Social Media
"Marking International Day of Persons with Disabilities & alongside #16DaysOfActivismAgainstGenderBasedViolence we take a look at Imesha's story; a victim-survivor of #SGBV who speaks of her experience as a #PwD navigating the waters of social stigma and pregnancy at a young age.

.
.
.
Australian High Commission, Sri Lanka | UNDP in Asia and the Pacific | United Nations Sri Lanka",Women,Negative,Non Discriminative,,Social Media
"WIF-UNDP GEF SGP Women Entrepreneurship Development Program. Creating awareness on Shipping and Logistics for International Trade for women entrepreneurs in Sri Lanka. A Session' conducted by Mr. Dinesh De Silva, Past Chairman Shippers Council, Veteran Trade Expert and  Former Head of Shipping and Logistics, Unilever. 

An informative and inspirational session with lot of insights and case studies delivered for the benefit of the women entrepreneurs. 

#wif, #womenentrepreneurs #womenempowement  #womeninbusiness #women",Women,Positive,Non Discriminative,,Social Media
"Press release

-Civil Society Collective spends Rs. 18 million in July to provide relief:
Civil Society Collective urges the Government to implement the vaccination plan methodically-

 
Civil Society Collective for Covid-19 Response is a collective of civil society organizations that have come together to contribute to the national Covid-19 response efforts in Sri Lanka.

Relief Operation

In response to the Covid 19 pandemic, the Sri Lanka Civil Society Collective has launched an island-wide relief operation targeting people in need of relief throughout Sri Lanka. Accordingly, the Civil Society Collective has already organized a large number of programs for the benefit of people in need throughout the island.  
 
During the first wave of the pandemic in 2020, the Civil Society Collective provided food and sanitary supplies to over 500 institutions such as children's homes, elders' homes, women's shelters, centers for persons with disabilities and rehabilitation centers. Therefore, the Collective arranged to distribute aid worth over Rs. 50 million island-wide during the first wave.

Current activities of the Civil Society Collective include providing food and sanitary supplies to poor families vulnerable to health risks in addition to providing the same to care centers and shelters; providing relief by means of telephone hotlines and support centers to women who have been victims of gender-based violence during the pandemic, and who are unable to access other assistance; and raising awareness of the impact of Covid-19 and safety precautions among vulnerable populations. 

Accordingly, the Civil Society Collective has implemented relief operations to support 9551 persons in 330 children's homes, elders' homes, women's shelters, centers for persons with disabilities and rehabilitation centers in 14 districts island-wide in the month of July. Rs. 5 million (Rs.5,200,488.00) was spent on dry rations and Rs. 13 million (Rs. 13,088,802.00) was spent on non-food assistance. Furthermore, we intend to increase the total amount spent on relief to Rs. 40 million by the end of this month. 

In addition to these direct interventions by us, other Civil Society Organizations operating at District level too have continued to provide relief and we have started to collect information regarding these efforts as well. Already, it has been confirmed that assistance exceeding Rs. two hundred and twenty one million (Rs. 221,464,760.00) was distributed last month by Civil Society Organizations operating at national and district levels at present. This still does not portray a complete picture of all their contributions and we intend to provide a more comprehensive image of these contributions in our next update.  

All relief efforts of the Collective are carried out in collaboration with the Government. 

Equality in vaccination: support sought from the international community.

Furthermore, in June, the Collective requested support from diplomatic missions in Sri Lanka to establish equality in vaccination and to provide humanitarian aid for vulnerable families.

This appeal from the CSO Collective has been delivered to Australian, Canadian, Indian, Bangladesh, Malaysian, Netherlands, Pakistan, Romanian, Chinese, Switzerland and British High Commissions and French, German, Italian, Japanese, Norway, Russian, USA Embassies as well as the Country office of the European Union, UN Resident Mission and WHO Country Office.

Health is a fundamental human right. It should not be decided on the basis of power or wealth. Since this disaster takes the form of a global pandemic, we must all unite to overcome this pandemic. Therefore, the Civil Society Collective has pointed out to the international community that vaccines must be distributed among all countries, and that all nations must stand united and collaborate on a long term basis in order to triumph over this pandemic. 

Scientific framework necessary for vaccination drive 

Furthermore, the CSO Collective remains vigilant about the vaccination drive implemented in Sri Lanka.

From time to time, news stories about irregularities in the vaccination programme can be heard. Political interventions too can be seen in the vaccination process. However, the vaccination drive appears to be running a bit more systematically in the past two weeks. The Civil Society Collective expects that vaccination will continue in a systematic and scientific manner. 

Furthermore, the Collective calls upon the Government;
to provide sufficient vaccination for people and to keep the people constantly updated regarding its plans;
to publicize the plan submitted by the government to WHO to receive and administer vaccines donated through the global vaccination donation programme;
to update the current vaccination plan and develop a comprehensive vaccination strategy with the leadership of relevant medical and public health experts;
to ensure that the plan is transparent regarding criteria used for prioritizing districts, divisions and villages and that the public is made aware of it;
to ensure that a scientific consensus is available regarding how people are prioritised when there is a scarcity of vaccines, and to pay particular attention to the at-risk groups;
to ensure that accessibility issues are taken into consideration and special vaccination schemes are put in place for the elderly, pregnant women and persons with special needs (disability);
to formulate a comprehensive communication strategy to ensure that vaccine-related information reaches the public evenly. Utilize television channels, radio channels, newspapers, sms services in Sinhala and Tamil to ensure that comprehensive information on the place and time of vaccination reaches the public;
to conduct public awareness programmes on the importance of vaccination and promptly respond to any misinformation and/or disinformation; 
to increase the number of PCR tests carried out daily as this is instrumental in stemming the spread of the virus, and also to expedite the results of PCR tests as this is useful to control the number of new patients and to minimize the community from being exposed to patients; and
to take leadership in eradicating Covid-19 from Sri Lanka while protecting the most vulnerable groups in society.

Dr. Vinya Ariyaratne
CSO Collective Co-convener
vinya.ariyaratne@gmail.com         

Mr. Rohana Hettiarachchi
CSO Collective Co-convener
rohana.paffrel@email.com

Mrs. Inoma Karunatilake
CSO Collective Representative 
inoma@lstlanka.org

Media Division
Civil Society Collective for Covid-19 Response  
076 807 96 99

The Civil Society Collective for COVID Response has been in operation since mid-May 2021
The Civil Society Collective has received 546 requests from 276 Children’s Homes, 208 Elder’s Homes, 4 Women’s Shelters, 6 Probation Homes, 32 Care Homes for People Living With Disability (PLWD), 9 groups of Vulnerable/low-income families and 11 other requests from plantation pre-school teachers, sex workers, transgender persons, COVID-19 intermediate care centres, rehabilitation centres, kidney patients etc., across 22 districts, as at 07th July, 2021. 

These requests include 2,871 men and 4,107 women in care homes and 2,753 boys and 4,139 girls in childrens’ care facilities. All together the requests for assistance we have received to date will cover 13,870 people.

Of these 546 requests, we have responded to 173 food related requests to date and are well into the process of responding to the rest. We have in our response so far, covered 60 children’s homes 58 Elders Homes, 7 care homes for PLWD, 5 probation centers and 1 women’s shelter across 14 districts. In addition, we have also responded to requests from 164 vulnerable families from Galle, Gampaha and Kandy. Dry rations have been provided to 3,243 individuals across 10 districts, amounting to Rs. 5,200,488.01.
There has also been several requests for basic hygiene items and safety products from the centers including for masks, sanitizers, thermometers. In response, to date Non Food Relief Items (NFRIs) have been provided to 9,551 individuals from 330 centres (includes Children’s Homes, Elder’s Homes, Women’s Shelters, Probation Homes) across 14 districts, amounting to Rs. 13,088,802.
We are in the process of responding to the balance requests and hope to complete them within this month.
All put together we have so far responded to 537 centers in 22 districts and other vulnerable groups covering 164 people. We hope to have delivered assistance worth of at least 40 million rupees by the end of this intervention.
In addition to our direct intervention we also would like to highlight the work of other civil society organisations - particularly those operating at the district level. We have begun collecting that information as well, and have found that a number of civil society organisations (CSOs), working at both the district and national levels, have stepped up to respond to this crisis. We have so far collected information from across the districts which indicate that around Rs. 221,464,760.22 million worth of assistance has been delivered in the last month by civil society groups. This is only a partial figure, and we hope to collate the contribution by NGOs and other civil society groups more fully and present in our next update.",None,None,None,,Social Media
"EmpowerHER with NDB Bank - Showcasing the powerfluencer women of corporate Sri Lanka 👩🏻‍💻

https://youtu.be/7tMyVc3nJdg?si=yKsHJioT_Z8txcRJ

#satynmag #satynmagazine #NDBbank #empowerher #womanempowerment #SriLanka #satynmagssuite",Women,Positive,Non Discriminative,,Social Media
"The Research, Reflection and Practices is a monthly forum initiated by the Training and Capacity Building arm of CEPA to impart skills and knowledge from experts to engage with current and critical issues relating to poverty and other relevant topics. These strategic sessions aim to cultivate a culture of reflection among CEPA staff and the public through an interactive and engaging knowledge sharing platform.

💡Join us on the 06th of July 2023 for the 12th Research, Reflection and Practices session with Dr Herath Gunatilake.",None,None,None,,Social Media
"Wishing everyone for a true empowerment. 
#vesak2022 #vesak",None,None,None,,Social Media
"Learn how we can build a supportive workplace environment when women come together as a sisterhood 💪  

https://satynmag.com/how-to-build-a-supportive-work-environment-create/

#satynmagazine #satynmag #careeradvice #SupportiveWorkplace #healthyworkplace #careerwoman",Women,Positive,Non Discriminative,,Social Media
"Farmer-to-Farmer (F2F) Tanzania Country Director, Amos Mkezwa, accompanied a team from the USAID Tanzania Mission, including Mission Director Craig Hart, to visit Equity Bank, a host organization that has been supported by the F2F program. They discussed how Equity Bank is on the road towards strengthening their agricultural lending program and reaching more smallholder farmers, women and youth.",None,None,None,,Social Media
"From July 31 to August 11, IESC’s USDA Food for Progress-funded Agricultural Trade and Climate Smart Innovation (ATraCSI) project team met in Guatemala City for an intensive work plan workshop. During this two-week event, Juan Manuel Sánchez, Chief of Party; Isabel González, Deputy Chief of Party (DCoP) Guatemala; Napoleón Castillo, DCoP El Salvador; Orlin Ramírez, DCoP Honduras, along with members from IESC’s Guatemala, Honduras, El Salvador, and Washington D.C. offices met to review and plan the project’s year two interventions related to trade facilitation, sanitary and phytosanitary (SPS), and climate-smart agriculture. The DCoPs presented their proposed activities and refined their country and regional activities with their country teams. IESC staff in El Salvador and Honduras joined remotely and actively participated in team presentations, round tables, teambuilding exercises, and meetings with implementing partners Purdue University, Center for International Private Enterprise, Global Cold Chain Alliance (GCCA), COEXPORT El Salvador, and AGEXPORT Guatemala who provided an overview of their role and scope of collaboration on the project.",None,None,None,,Social Media
"As we grapple with the escalating impact of climate change, we must find ways to produce more food with less water.'

On #WorldFoodDay, UN Resident Coordinator Marc-André Franche highlighted ongoing food challenges and the need for innovative, sustainable and climate-resilient solutions.

In joint a call for urgent action towards sustainable agriculture in Sri Lanka, FAO Sri Lanka, International Fund for Agricultural Development (IFAD) and WFP Sri Lanka underscore water-efficient approaches as key to ensuring food security for generations to come.

Read more: https://bit.ly/3MskXSv
Read the full remarks by the UN Resident Coordinator: https://bit.ly/45zOobJ",None,None,None,,Social Media
"WIF's Women's Day Message on ITN Main News Bulletin. 
Lets make it a year of advancement and change where biases are challenged and barriers are broken. 

Seroshi Nandasiri
#WIF, #IWD2022, #WOMEN, #Womenempowerment  #breakbias",Women,Positive,Non Discriminative,,Social Media
"I wish to play sports to a higher level, for a team, and to go on to become a coach myself. But to do that I would have to go to bigger schools or join clubs further away from my home. There is no simple way for me to follow this path, though I am determined to try as hard as I can.

- Jude | Deniyaya -

#malaiyaham200 #malaiyaha #dreams #lawandsocietytrust #SriLanka #srilankan #malaiyahamakkal #lka",None,None,None,,Social Media
"IESC’s USDA Food for Progress-funded Market-Oriented Dairy (MOD) project in Sri Lanka is entering its seventh and final year. As the project comes to a close, the team is shifting focus from leading training efforts and activities to transferring skills and ownership to private and public sector partners who will continue MOD’s work after it has ended. MOD and the Department of Animal Production and Health (DAPH) developed the National Dairy Entrepreneur Development Program to standardize training and extension messaging for the dairy sector. IESC conducted a training of trainers (ToT) for 364 Livestock Development Instructors (LDIs) and 173 Veterinary Surgeons (VSs) from four provincial DAPH offices. IESC has also worked with private sector companies to strengthen their ability to deliver training and extension to their farmers, offering a ToT to the staff of three processor companies. These trained staff from DAPH and processor companies plan to continue delivering training using the MOD-developed model after the project closes.",None,None,None,,Social Media
"Water is life, water is food. Leave no one behind.

This year FAO Sri Lanka, International Fund for Agricultural Development (IFAD), and WFP Sri Lanka mark #WorldFoodDay by highlighting the climate-resilient and sustainable agriculture practices that Sri Lanka should adopt to build a resilient and food secure future for generations to come.

",None,None,None,,Social Media
"Yesterday (28/11/2023) we conducted an awareness Program on chemical contamination and environmental law for government officers in Ehatuwewa to strengthen democratic institutions and practices, and rule of law through advocating and strengthening the democratic political process/institutions/ agencies/youth/ media/ and legal practitioners organized under the NED project ""Promoting Citizen Participation in Monitoring Economic Development”. 80 government officers representing Divisional Secretary, Grama Niladari, Development Officers and other government institutions in Ehatuwewa, joined the program.",None,None,None,,Social Media
"Delivering Change #EndSGBV

For #16DaysOfActivismAgainstGenderBasedViolence United Nations Development Programme - UNDP #SriLanka is partnering with Uber Eats Sri Lanka for a special advocacy campaign to #EndSGBV by empowering community members. Keep a look out for the orange armbands in and around #Colombo. 

#SGBV #colombo #srilanka #16DaysofActivism",None,None,None,,Social Media
"Vulnerable communities in Sri Lanka often face the harshest impacts of climate disasters. 

Enhancing equal access to early warning systems is pivotal for reducing disaster risk, saving lives and mitigating inequalities.

The UN and partners are committed to supporting #SriLanka in achieving the Sendai Framework for #DRR, supporting natural resource management, climate resilience and environmental sustainability, ensuring that we reach the most vulnerable.

Learn more: https://iddrr.undrr.org/",None,None,None,,Social Media
"Eyes that mesmerize! 

The ultimate makeup secrets for women over 50 rocking glasses. 👓💄

https://satynmag.com/makeup-for-glasses-tips-secrets-for-50-plus-women/

#AgelessBeauty #satynmagazine #satynmag #womensmagazine #no1 #SriLanka #makeupaddict #glasses #glassesfashion",None,None,None,,Social Media
"Proud of you Thamara Ranaraja. 
Participant of WIF's Women Entrepreneurship Program conducted in partnership with IFC (International Finance Corporation). 
#breakthebias2022 #breakbarriers #WomenEntrepreneurship #womeneconomicempowerment",None,None,None,,Social Media
"At the #IGF2023, the United Nations Secretary-General urged governments, private sector & civil society to align actions with commitments to human rights, democracy & the rule of law in the digital space. In line with these commitments, leaders at the #IGF2023 discussed collective actions to realise a common vision for #TheInternetWeWant:

🔓 Whole & open
🌏 Universal & inclusive
🕊 Free-flowing & trustworthy
🛡 Safe & secure
⚖️ Rights-respecting

More on #IGF2023: https://t.co/sWI9a8w4f8
More on the SG's Global Digital Compact: https://bit.ly/3rQVQl4
More on #TheInternetWeWant: https://bit.ly/3LZpLOP",None,None,None,,Social Media
"Love & Life Chronicles: Tune into Your Ultimate Guide to Navigating Marriage's Ups and Downs 💍🎙️ 

https://podcasters.spotify.com/pod/show/satynmag1/episodes/How-to-Survive-Different-Stages-of-Marriage-e2bediq

#satynmagazine #satynmag #womensmagazine #podcast #RelationshipAdvice #relationships #mentalhealth",None,None,None,,Social Media
"It’s not news that the triple planetary crisis—#climatechange, #pollution and #biodiversity loss—is ravaging the world, leaving disproportionate and devastating impacts on tropical nations such as #SriLanka. #COP28 is an opportunity for tangible and ambitious action to to credibly cut emissions and deliver climate justice.

READ more on how UNDP #SriLanka through its #NaturePledge is supporting the Ministry of Environment in Sri Lanka, paving the road ahead for #ClimateAction in Sri Lanka

https://bit.ly/47zgOVl

Ministry of Environment United Nations Development Programme - UNDP UNDP in Asia and the Pacific United Nations Sri Lanka",None,None,None,,Social Media
"""When we were younger, we thought we would like to become doctors, lawyers, or police officers. However, we do not have the support to make these a reality. The financial situations in our homes are very difficult, and we need to consider the needs of the rest of the family or our sick relatives over our own education.""

- Danushika / Maskeliya - 

#malaiyaham200 #malaiyaha #dreams #lawandsocietytrust #SriLanka #srilankan #malaiyahamakkal #LK",None,None,None,,Social Media
"Discover the Benefits of Balancing Scents for a Harmonious Home 🏡✨ 

Unwind, reduce stress, and boost productivity with the power of aroma. Create a tranquil atmosphere, improve your well-being, and enhance your home's harmony through carefully curated scents. 

Learn how the right fragrances can transform your space into a sanctuary of balance and positivity 👇🏻

https://satynmag.com/fragrance-pairing-balancing-scents-for-harmonious/

#satynmag #satynmagazine #aromatherapy #benifits #fragranceoil #vaporizer #essentialoils #cycle #suwanda",None,None,None,,Social Media
"Front Line Defenders joins the Martin Ennals Foundation in condemning the harassment of WHRD Soltan Achilova and her daughter by government authorities at Ashgabat airport a few days ago where a customs official took their passports, wet them with a damp rag and declared them to be ruined, obstructing their traveling to Geneva where Soltan would feature as a keynote speaker at the University of Geneva’s Human Rights Week 2023.

Soltan's pictures of daily life are one of the few sources of documentation of human rights violations occurring in this most secretive nation. Her decade-long reporting and documentation of land grabs and forced evictions of local citizens was recognized by the Martin Ennals Award in 2021.

The WHRD believes she was not allowed to leave the country because of the authorities’ fear that negative information might be heard during the Human Rights week in Geneva. Yet, the obstruction from travel of an internationally recognized human rights defender is more striking evidence of the lack of freedoms in the country.  The silencing of Soltan and fellow journalists must stop. We renew calls for Turkmenistan to fully implement their human rights obligations and stop the silencing of human rights defenders. 

🌐 Read more: 
https://www.frontlinedefenders.org/en/statement-report/turkmenistan-whrd-soltan-achilova-denied-travel-geneva-human-rights-week
#Turkmenistan",Women,Negative,Discriminative,,Social Media
"Transform your living space into a fragrant oasis! Discover the secrets to creating the perfect ambiance with the right aromas. 🌸✨ 

#satynmagazine #satynmag #womensmagazine #aromatherapy #fragrance #cycle #suwanda

",Women,Positive,Non Discriminative,,Social Media
"The CCC School of Cricket celebrated their silver jubilee on 20 January at the Bishop's College Auditorium. 

Standing today as the premier cricket coaching school in the country, the CCC School of Cricket looks back on their successful journey which began all the way back in 1998.

Check out the highlights!",None,None,None,,Social Media
"International Women's Day Forum on 8th March 2022 at Government Information Department. 
WIF partnered with the Ministry of Mass Media in presenting this forum in creating awareness on social, economic and legal biases against women.

Speakers featured include, Samadanie Kiriwandeniya, Former Deputy Chair, Sanasa Development Bank, Ajith Rohana, Senior DIG of Sri Lanka Police, K. Gamage, Former DG, Dangerous Drugs Control Board and Deputy Chair, WIF, Anusha Gokula Fernando, DG, Department of Manpower & Employment & Seroshi Nandasiri, Founder and Chair, WIF. 

#womenentrepreneurship #women #womensday2022 #empoweringwomen #genderequality #breakthebias2022",Women,Positive,Non Discriminative,,Social Media
WIF's representation at the Round Table Discussion hosted by AMCHAM on 'Retention and Re-absorption of Women to the Workforce'.,Women,Positive,Non Discriminative,,Social Media
"Satyn Magazine EmpowerHER powerfluencer series with DIMO Lanka 👩🏻‍💻

#satynmag #satynmagazine #NDBbank #empowerher #womanempowerment #SriLanka #satynmagssuite",Women,Positive,Non Discriminative,,Social Media
Diabetes facts in Sri Lanka are frightening. #SriLankan #diabetesday #diabetes #DiabetesAwareness #DiabetesAwarenessMonth,None,None,None,,Social Media
"Frequently asked questions on domestic debt restructuring.. 

Prepared by : Ahilan Kadirgamar (Senior Lecturer, University of Jaffna). Madhulika Gunawardena, Shafiya Rafaithu, and Sinthuja Sritharan (Young Researchers Network). Research supported by the Law and Society Trust.

#lawandsocietytrust #SriLanka #srilankancris #EconomicCrisisLK #debtrestructuring #domesticdebtrestructuring #IMF #LK",None,None,None,,Social Media
"CEPA together with the Stockholm Environment Institute (SEI) conducted a project to explore (in)coherence and interlinkages between climate action, agriculture and inequality. In partnership with the Climate Change Secretariat of Sri Lanka, CEPA hosted a workshop to disseminate the findings of the project and to familiarise Government, civil society and private sector stakeholders with the SDG Synergies tool used to evaluate competing policy actions.",None,None,None,,Social Media
"Read CEPAs recent article which looks at the challenges and opportunities related to Eldercare in Sri Lanka, published in the Sunday Morning on 2nd July. ",None,None,None,,Social Media
"Working towards achieving Gender Equality for Sustainable Future and Development.  
#wif #women #economicempowerment #womenentrepreneurship #bethechange 

https://youtu.be/nbhjXK2mMe8",Women,Positive,Non Discriminative,,Social Media
"Celebrating the International Women's Day. 
""Gender Equality today for sustainable development tomorrow"". 
WIF partnered with Ministry of Mass Media and Government Information Department in presenting an in-depth discussion on social economic and legal matters that impact women. 
Let's break bias and give space for women. Knowledge and understanding is the key in making a difference. 

#wif #womensday2022 #womenentrepreneurship #empoweringwomen",Women,Positive,Non Discriminative,,Social Media
"Government of Sri Lanka's domestic debt restructuring program targets working people’s savings to satisfy the wishes of international bond holders - Dr. Ahilan Kadirgamar.

#lawandsocietytrust #domesticdebtrestructuring #debtrestructuring #debt #IMF #internationalmonetaryfund #EconomicCrisisLK #SriLanka #LK",None,None,None,,Social Media
"Have you spotted the in-app messaging on your Uber Eats #SriLanka app?

This #16DaysOfActivism, United Nations Development Programme - UNDP 🇱🇰in collaboration with Uber aims to build awareness thru its network of couriers, drivers, merchant partners, & customer base in #Colombo to #EndSGBV

Read more: https://bit.ly/3QMK1ot about the campaign 
'Delivering Change #EndSGBV' 

#16DaysOfActivism",None,None,None,,Social Media
"The secrets of successful branding 💪 Learn how to create a strong identity for your small business. 💼💁‍♀️

learn more 👉🏻 https://satynmag.com/what-is-branding-creating-a-strong-identity-for-your/

#satynmag #satynmagazine #SriLanka #branding #brandidentity #marketing #womenmagazine #Digital",None,None,None,,Social Media
"The Front Line Defenders Award seeks to honour the work of human rights defenders who are courageously making outstanding contributions to the promotion and protection of the human rights of others, at great personal risk to themselves.

Nominations for the 2024 Awards are open until 5 January 2024. Front Line Defenders will recognize five HRDs from around the world 🌎 (one per each region of the world: Africa; Americas; Asia-Pacific; Europe & Central Asia; and Middle East & North Africa) as the 2024 Front Line Defenders Award Laureates. 

To submit nominations and find more information, visit👇
https://www.frontlinedefenders.org/en/call-nominations-2024-front-line-defenders-award-human-rights-defenders-risk",None,Positive,Non Discriminative,,Social Media
"வரவிருக்கும் உள்ளூராட்சி தேர்தலில் போட்டியிடப் போகும் பெண் தலைவர்களால் அரசியலில் பெண்களின் பங்கு பற்றிய கருத்துக்கள்.

එළඹෙන ප්‍රාදේශීය සභා මැතිවරණයට ඉදිරිපත්වීමට නියමිත කාන්තා නායිකාවන් දේශපාලනය තුල කාන්තාවන්ගේ භූමිකාව පිළිබඳව දැක්වූ අදහස්.

The perceptions on Women’s role in politics, presented by the women leaders who are going to contest for the upcoming local election.

Transform Sri Lanka 

#women #womeninpolitics #womeninpower #womeninaction #womenpolitics #politics #election #electioncandidates #srilanka #lk",Women,Positive,Non Discriminative,,Social Media
"Today marks the beginning of the #16DaysOfActivismAgainstGenderBasedViolence. On this International Day for the Elimination of #ViolenceAgainstWomen, let's #EndGBV by breaking the silence and creating a world 🌏 where women and girls like Sandya and Hiruni are protected.
.
.
.
UNDP in Asia and the Pacific | United Nations Development Programme - UNDP | United Nations Sri Lanka | Australian High Commission, Sri Lanka",Women,Positive,Non Discriminative,,Social Media
"On July 27, 2023, IESC’s USDA Food for Progress-funded Agricultural Trade and Climate Smart Innovation (ATraCSI) project team visited various producers in Chimaltenango, Guatemala to learn more about their limitations related to production, marketing, and export processes. The visits included an avocado producer, a vegetable producer, and a berries, peas, and vegetables producer. These discussions with local producers will help IESC tailor ATraCSI’s interventions to the specific needs of project participants in Guatemala.",None,None,None,,Social Media
"Matale - 2024.01.21
Centre for Monitoring Election Violence (CMEV) conducted one-day training session on the electoral system and legal framework in Sri Lanka for youth, women, Persons with disabilities, and other marginalized communities, in order to empower them to effectively engage in the electoral and democratic process. 

The discussion was facilitated by Mr. M.M. Mohamed -Retired Commissioner General of elections, and Mr. A.M.N Victor, National Coordinator-CMEV.
The program was organized by Mr. Dilan Rangana Wijesekara, Field Coordinator-CMEV and Mr.R.S Ghandi- Event Coordinator, under the guidance of Mr. A.M.N Victor, National Coordinator -CMEV.

#CMEV #Civic_Empowerment
#Campaign_Finance 
#Democracy #_Governance",None,None,None,,Social Media
"The SLMA Expert Committee on PRTC spearheaded an impactful Road Safety awareness program for 150 school transportation drivers in Colombo, in collaboration with the Social Service League of Royal College Colombo. Here's a glimpse of the successful event dedicated to securing the journey for our precious children.

#RoadSafety #SLMA #SafeSriLanka #eChannelling #ProtectOurYouth #RoyalCollege",None,None,None,,Social Media
"Giving people hope to face the new year with determination to overcome the challenges with confidence is essential to drive the country's social-economic development'. Ms. Seroshi Nandasiri, Founder WIF speaking to NewsFirst MTV on 1st January 2024. 

Full video on https://www.youtube.com/watch?v=ZADZQu6DERI&t=4s 
 
#wif, #womenorganization #womenempowement #SocialEmpowerment #srilankawomenorganisations #srilankadevelopment #seroshinandasiri",None,None,None,,Social Media
"The Tamil community living in Gonamotawa estate belonged to several castes which led to various problems within the estate following long-term problems causing lack of unity and cooperation.

To foster social cohesion among the residents of Gonamotawa estate, who come from diverse castes, through promoting religious harmony, a mitigation activity was held on 27th January 2024 under the NPC project Action for Religious Coexistence (ARC) at Gonamotawa school, Nyabedda Estate, Bandarawela. 

Discussions were held with the community with the facilitation from Ven. Ambegoda Pragnarathana Thero (Head of the Obodella Temple), Mrs. S.M.N.Kumudini (Assistant Divisional Secretary -Bandarawela), Rev. Fr.Joel Jackson (Church of the Ascension - Bandarawela),  Mr. R.M.G.Bandara (Grama Niladhari - Beddekumbura) where 38 male and 34 female participated representing the estate community, youth, LIRC members and religious leaders, and estate community leaders. 

#NPC #ARC #Bandarawela #February2024",None,None,None,,Social Media
